run_id,departure_datetime,max_trip_duration,origins,destinations,breakdown,verbose,cutoffs,geography,day_type, start_time
1,2023-09-05 12:00,45L,dest_hex_points,dest_hex_points,F,F,30,block_group,weekday, 12 PM
2,2023-09-05 7:00,45L,dest_hex_points,dest_hex_points,F,F,30,block_group,weekday, 7 AM
3,2023-09-05 19:00,45L,dest_hex_points,dest_hex_points,F,F,30,block_group,weekday, 7 PM
4,2023-09-05 21:00,45L,dest_hex_points,dest_hex_points,F,F,30,block_group,weekday, 9 PM
5,2023-09-05 12:00,60L,dest_hex_points,dest_hex_points,F,F,45,block_group,weekday, 12 PM
6,2023-09-05 7:00,60L,dest_hex_points,dest_hex_points,F,F,45,block_group,weekday, 7 AM
7,2023-09-05 19:00,60L,dest_hex_points,dest_hex_points,F,F,45,block_group,weekday, 7 PM
8,2023-09-05 21:00,60L,dest_hex_points,dest_hex_points,F,F,45,block_group,weekday, 9 PM
9,2023-09-05 12:00,30L,dest_hex_points,dest_hex_points,F,F,20,block_group,weekday, 12 PM
10,2023-09-05 7:00,30L,dest_hex_points,dest_hex_points,F,F,20,block_group,weekday, 7 AM
11,2023-09-05 19:00,30L,dest_hex_points,dest_hex_points,F,F,20,block_group,weekday, 7 PM
12,2023-09-05 21:00,30L,dest_hex_points,dest_hex_points,F,F,20,block_group,weekday, 9 PM
13,2023-09-05 12:00,45L,dest_hex_points,dest_hex_points,F,F,30,quarter_mile_hexagon,weekday, 12 PM
14,2023-09-05 7:00,45L,dest_hex_points,dest_hex_points,F,F,30,quarter_mile_hexagon,weekday, 7 AM
15,2023-09-05 19:00,45L,dest_hex_points,dest_hex_points,F,F,30,quarter_mile_hexagon,weekday, 7 PM
16,2023-09-05 21:00,45L,dest_hex_points,dest_hex_points,F,F,30,quarter_mile_hexagon,weekday, 9 PM
17,2023-09-05 12:00,60L,dest_hex_points,dest_hex_points,F,F,45,quarter_mile_hexagon,weekday, 12 PM
18,2023-09-05 7:00,60L,dest_hex_points,dest_hex_points,F,F,45,quarter_mile_hexagon,weekday, 7 AM
19,2023-09-05 19:00,60L,dest_hex_points,dest_hex_points,F,F,45,quarter_mile_hexagon,weekday, 7 PM
20,2023-09-05 21:00,60L,dest_hex_points,dest_hex_points,F,F,45,quarter_mile_hexagon,weekday, 9 PM
21,2023-09-05 12:00,30L,dest_hex_points,dest_hex_points,F,F,20,quarter_mile_hexagon,weekday, 12 PM
22,2023-09-05 7:00,30L,dest_hex_points,dest_hex_points,F,F,20,quarter_mile_hexagon,weekday, 7 AM
23,2023-09-05 19:00,30L,dest_hex_points,dest_hex_points,F,F,20,quarter_mile_hexagon,weekday, 7 PM
24,2023-09-05 21:00,30L,dest_hex_points,dest_hex_points,F,F,20,quarter_mile_hexagon,weekday, 9 PM
